YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2023-01,WEEKDAY,9,TRAIN,EW23,26621,31006
2023-01,WEEKENDS/HOLIDAY,9,TRAIN,EW23,14851,11591
2023-01,WEEKENDS/HOLIDAY,21,TRAIN,DT34,482,1342
2023-01,WEEKDAY,21,TRAIN,DT34,1284,2116
2023-01,WEEKDAY,15,TRAIN,NS5,13939,19527
2023-01,WEEKENDS/HOLIDAY,15,TRAIN,NS5,9970,10842
2023-01,WEEKENDS/HOLIDAY,11,TRAIN,DT13,3082,4824
2023-01,WEEKDAY,11,TRAIN,DT13,4138,7406
2023-01,WEEKENDS/HOLIDAY,20,TRAIN,DT27,1561,2866
2023-01,WEEKDAY,20,TRAIN,DT27,4097,4302
2023-01,WEEKENDS/HOLIDAY,20,TRAIN,SW3,426,1050
2023-01,WEEKDAY,20,TRAIN,SW3,540,2178
2023-01,WEEKDAY,14,TRAIN,EW16/NE3/TE17,17744,19503
2023-01,WEEKENDS/HOLIDAY,14,TRAIN,EW16/NE3/TE17,7799,5493
2023-01,WEEKENDS/HOLIDAY,19,TRAIN,EW26,8177,13059
2023-01,WEEKDAY,19,TRAIN,EW26,15074,39726
2023-01,WEEKDAY,6,TRAIN,BP3,9103,759
2023-01,WEEKENDS/HOLIDAY,6,TRAIN,BP3,1016,200
2023-01,WEEKENDS/HOLIDAY,13,TRAIN,EW12/DT14,23137,34448
2023-01,WEEKDAY,13,TRAIN,EW12/DT14,31175,36344
2023-01,WEEKENDS/HOLIDAY,8,TRAIN,CG2,3672,5876
2023-01,WEEKDAY,8,TRAIN,CG2,6014,15306
2023-01,WEEKENDS/HOLIDAY,10,TRAIN,NS4/BP1,14090,9905
2023-01,WEEKDAY,10,TRAIN,NS4/BP1,19640,14629
2023-01,WEEKDAY,22,TRAIN,NS5,5171,16885
2023-01,WEEKENDS/HOLIDAY,22,TRAIN,NS5,3680,9979
2023-01,WEEKDAY,22,TRAIN,SE3,232,2278
2023-01,WEEKENDS/HOLIDAY,22,TRAIN,SE3,225,1320
2023-01,WEEKDAY,20,TRAIN,NE13,9068,13822
2023-01,WEEKENDS/HOLIDAY,20,TRAIN,NE13,4778,6807
2023-01,WEEKENDS/HOLIDAY,19,TRAIN,NS17/CC15,12789,14106
2023-01,WEEKDAY,19,TRAIN,NS17/CC15,32926,44545
2023-01,WEEKENDS/HOLIDAY,14,TRAIN,TE8,3511,2639
2023-01,WEEKDAY,14,TRAIN,TE8,4169,4856
2023-01,WEEKENDS/HOLIDAY,23,TRAIN,CC17/TE9,282,727
2023-01,WEEKDAY,23,TRAIN,CC17/TE9,351,1244
2023-01,WEEKDAY,10,TRAIN,DT18,2380,9455
2023-01,WEEKENDS/HOLIDAY,10,TRAIN,DT18,776,1994
2023-01,WEEKDAY,19,TRAIN,EW23,38068,44052
2023-01,WEEKENDS/HOLIDAY,19,TRAIN,EW23,14173,16985
2023-01,WEEKENDS/HOLIDAY,14,TRAIN,EW15,5723,4879
2023-01,WEEKDAY,14,TRAIN,EW15,13745,12467
2023-01,WEEKENDS/HOLIDAY,23,TRAIN,EW12/DT14,6541,2852
2023-01,WEEKDAY,23,TRAIN,EW12/DT14,9913,3974
2023-01,WEEKDAY,7,TRAIN,NS15,22590,54544
2023-01,WEEKENDS/HOLIDAY,7,TRAIN,NS15,3903,3422
2023-01,WEEKDAY,12,TRAIN,EW30,1349,610
2023-01,WEEKENDS/HOLIDAY,12,TRAIN,EW30,1188,428
2023-01,WEEKDAY,12,TRAIN,NE11,3893,3056
2023-01,WEEKENDS/HOLIDAY,12,TRAIN,NE11,3216,2141
2023-01,WEEKENDS/HOLIDAY,8,TRAIN,PE5,2167,778
2023-01,WEEKDAY,8,TRAIN,PE5,8083,1957
2023-01,WEEKENDS/HOLIDAY,14,TRAIN,TE19,588,568
2023-01,WEEKDAY,14,TRAIN,TE19,1444,1611
2023-01,WEEKENDS/HOLIDAY,19,TRAIN,TE19,635,509
2023-01,WEEKDAY,19,TRAIN,TE19,5488,938
2023-01,WEEKDAY,9,TRAIN,CC11,3505,25199
2023-01,WEEKENDS/HOLIDAY,9,TRAIN,CC11,1778,3843
2023-01,WEEKDAY,0,TRAIN,SE1,30,314
2023-01,WEEKENDS/HOLIDAY,0,TRAIN,SE1,42,206
2023-01,WEEKDAY,12,TRAIN,NS14,17140,11320
2023-01,WEEKENDS/HOLIDAY,12,TRAIN,NS14,12588,8538
2023-01,WEEKDAY,14,TRAIN,SE4,2386,3188
